Fide id,Name,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag
4109791,"Putjatina, Nadezhda",RUS,F,,,2235,,,wi
14132400,"Shpanko, Nadiia",UKR,F,2002,WIM,2235,2069,2121,
4135504,"Zakurdjaeva, Irina",RUS,F,1982,WGM,2235,2186,2179,wi
3506355,"Corrales Jimenez, Zenia",MEX,F,1989,WIM,2234,2176,2220,
2905612,"Genova, Lyubka",BUL,F,1983,WIM,2234,2230,2224,
14201780,"Kurbonboeva, Sarvinoz",UZB,F,1994,WGM,2234,2129,2054,
1210785,"Moldovan, Corina",ROU,F,1983,WIM,2234,2218,,wi
4636546,"Schmidt, Jessica",GER,F,1979,WGM,2234,2219,,
4158296,"Dolgova, Olga",LAT,F,1987,WIM,2233,2139,2140,wi
1209914,"Dragomirescu, Angela",ROU,F,1973,WIM,2233,2188,2237,
2801035,"Kristol, Luba",ISR,F,1944,WIM,2233,,,wi
4149068,"Akhmetshina, Alina",RUS,F,1984,WFM,2232,,,wi
14105551,"Cherednichenko, Svetlana",UKR,F,1984,WGM,2232,2277,,wi
4185609,"Ilchenko, Nadezhda",RUS,F,1986,WIM,2232,,,wi
4109228,"Kryukova, Irina",RUS,F,1968,WGM,2232,,2240,wi
22247270,"Nicolas Zapata, Irene",ESP,F,1997,WIM,2232,2188,2192,
14109794,"Areshchenko, Kateryna",UKR,F,1985,WGM,2231,,2207,wi
13712802,"Kamalidenova, Meruert",KAZ,F,2005,WFM,2231,1875,2085,
14400073,"Misanovic, Vesna",BIH,F,1964,WGM,2231,,,
4121465,"Rakitskaja, Mariya",RUS,F,1972,,2231,,,wi
8602824,"Tu, Haiqiong",CHN,F,1975,,2231,,,wi
4107985,"Arbatskaia, N",RUS,F,1971,,2230,,,wi
2019507,"Battsetseg, Tsagaan",USA,F,1972,WIM,2230,,,wi
4900588,"Battsetseg, Tuvshintugs",MGL,F,1978,WIM,2230,,,wi
14100959,"Dekusar, Maria",UKR,F,1972,WIM,2230,,,wi
4140443,"Khusnutdinova, Luiza",RUS,F,1983,WIM,2230,,,wi
12401013,"Luong, Phuong Hanh",VIE,F,1983,WIM,2230,2132,2119,
14904888,"Maslikova, Veronika",SVK,F,1986,WIM,2230,,2260,
24173371,"Dimitrova, Aleksandra",RUS,F,2000,WIM,2229,2066,1946,
14112035,"Doluhanova, Evgeniya",UKR,F,1984,WGM,2229,2234,2153,
116459,"Fernandez, Maria Florencia",ARG,F,1991,WIM,2229,2116,2184,
4144210,"Kharashkina, Bairta",RUS,F,1982,WFM,2229,,,wi
4166736,"Kirillova, Varvara",RUS,F,1987,WIM,2229,,,wi
3601617,"Velazquez Garcia, Maria",ECU,F,1984,WFM,2229,,,wi
505161,"Zhou, Qiyu",CAN,F,2000,FM,2229,,1925,
14117258,"Babiy, Olga",UKR,F,1989,WGM,2228,2238,2304,
4901444,"Enkhtuul, Altan-Ulzii",MGL,F,1994,WGM,2228,2039,2059,
1212915,"Foisor, Sabina-Francesca",USA,F,1989,WGM,2228,2312,2240,
13300270,"Gevorgyan, Maria",ARM,F,1994,WGM,2228,2147,2210,
872342,"Gueci, Tea",ITA,F,1999,WIM,2228,2055,2142,
350591,"Richterova, Natasa",CZE,F,1996,WIM,2228,2139,2143,
11602260,"Amerika, Katrina",LAT,F,1991,WIM,2227,2130,2117,
14107244,"Arutyunova, Diana",UKR,F,1988,WGM,2227,2167,2203,wi
4158067,"Knyaginicheva, Irina",RUS,F,1985,WFM,2227,,,wi
14601982,"Krivec, Jana",SLO,F,1980,WGM,2227,2179,2053,
4149564,"Malgina, Tatiana",RUS,F,1984,WIM,2227,2244,2191,wi
24142573,"Niyazgulova, Marina",RUS,F,1995,WIM,2227,2248,2087,wi
14102404,"Rudolph, Anna",GER,F,1978,WIM,2227,,,wi
4130944,"Svistun, Olga",RUS,F,1977,WIM,2227,2238,,wi
1114158,"Jakubiec, Edyta",POL,F,1981,WIM,2226,2156,2041,
32099568,"Kolotilina, Liudmila",ESP,F,1983,WFM,2226,2085,2074,
14112116,"Kostiukova, Liubov",UKR,F,1983,IM,2226,,,wi
4149106,"Norina, Viktoria",RUS,F,1967,WFM,2226,,,wi
4175840,"Tarasova, Viktoriya",RUS,F,1989,WIM,2226,2197,2182,wi
5091241,"Varshini, V",IND,F,1998,WGM,2226,1910,2061,
4119908,"Davidova, Elena",RUS,F,1970,WFM,2225,,,wi
2201550,"Garcia Padron, M Del Pino",ESP,F,1961,,2225,,,wi
13500414,"Khorovets-Aiedinova, Elmira",BLR,F,1963,WFM,2225,,,wi
14101530,"Lymar, Irina",UKR,F,1974,WGM,2225,,,wi
7100370,"Sulistya, Maria Lucia Ratna",INA,F,1975,WIM,2225,,,wi
8604541,"Yuan, Yuanling",CAN,F,1994,WIM,2225,2237,2217,wi
8602905,"Zhou, Guijue",CHN,F,1985,WIM,2225,2178,,
22200371,"Aranaz Murillo, Amalia",ESP,F,1995,WIM,2224,2278,,wi
1009311,"Bensdorp-De Labaca, Marlies",NED,F,1985,WIM,2224,2254,2156,
928615,"Chelushkina, Irina",SRB,F,1961,WGM,2224,2283,2256,
4167945,"Makarova, Natalia",RUS,F,1982,,2224,,,wi
4503082,"Olde, Margareth",EST,F,2000,WFM,2224,2008,2013,
24142565,"Baraeva, Irina",RUS,F,1995,WIM,2223,2200,2136,wi
642002,"Benmesbah, Natacha",FRA,F,1989,WIM,2223,2193,2271,
13902911,"Butuc, Maria",RUS,F,1993,WIM,2223,2128,2144,wi
743585,"Juhasz, Barbara",HUN,F,1995,WIM,2223,2122,2214,
1234765,"Lehaci, Miruna-Daria",ROU,F,2004,WFM,2223,1847,1748,
1625268,"Schnegg, Anna-Lena",AUT,F,1998,WFM,2223,2041,2185,
8602093,"Wang, Fang",CHN,F,1989,,2223,,,wi
4157214,"Alexandrova, Varvara",RUS,F,1985,WFM,2222,,,wi
4200446,"Botsari, Anna-Maria",GRE,F,1972,WGM,2222,,2374,wi
13300946,"Ghukasyan, Siranush",ARM,F,1998,WIM,2222,,1953,
14102455,"Kubata, Viktoria",UKR,F,1979,WIM,2222,,,wi
14134039,"Martynkova, Olena",UKR,F,2000,WIM,2222,2044,2076,
4139550,"Mukhortova, Elena",RUS,F,1982,,2222,,,wi
4110110,"Steinberg, Jana",RUS,F,1972,WFM,2222,,,wi
777765,"Gaal, Zsoka",HUN,F,2007,WFM,2221,1928,1707,
13602586,"Gavasheli, Ana",GEO,F,1987,WIM,2221,2036,2134,
2019558,"Grinfeld, Alla B",USA,F,1953,WGM,2221,,,wi
4129709,"Kursova, Maria",ARM,F,1986,WGM,2221,2281,,
22238255,"Perera Borrego, Maria Adela",ESP,F,1994,WIM,2221,2081,2155,
634581,"Congiu, Mathilde",FRA,F,1989,WIM,2220,2198,,
2006723,"Levitan, Yuliya",USA,F,1973,WIM,2220,,2220,wi
4125070,"Lysova, Olga",RUS,F,1980,WIM,2220,,,wi
1116738,"Mickiewicz, Maria",POL,F,1984,WIM,2220,2090,,wi
4108531,"Mulenko, Lydia N",RUS,F,,WIM,2220,,,wi
8605610,"Nie, Xin",CHN,F,1997,,2220,,2092,
4116909,"Severina, Maria",RUS,F,1995,WIM,2220,2231,2202,wi
4128435,"Shmidt, Elena",RUS,F,1976,WIM,2220,2004,2106,wi
4123832,"Bilenko, Larisa",RUS,F,1955,,2219,,,wi
4132432,"Kanaeva, Irina",RUS,F,1994,WFM,2219,2164,2094,wi
4153308,"Kornilova, Ekaterina",RUS,F,1985,WFM,2219,,,wi
1106660,"Krupa, Monika",POL,F,1977,WGM,2219,2150,,wi
12971367,"Muetsch, Annmarie",GER,F,2002,WIM,2219,2188,2272,
5055903,"Srija, Seshadri",IND,F,1997,WGM,2219,2087,1995,
2806088,"Botvinnik, Irina",ISR,F,1961,WFM,2218,,,wi
5700965,"Foudzi, Siti Zulaikha",MAS,F,1988,WIM,2218,,,wi
4205472,"Papadopoulou, Vera",GRE,F,1986,WIM,2218,,,wi
5082986,"Priyanka, K",IND,F,2001,WIM,2218,1810,1893,
14507323,"Saric, Kristina",CRO,F,1986,WIM,2218,2186,,
5001056,"Saritha, M. Reddy",IND,F,1972,WIM,2218,,,wi
4107284,"Sirotkina, Nina",RUS,F,1964,WIM,2218,2088,2058,
4128311,"Timurova, Lilia",RUS,F,1981,WIM,2218,,2021,wi
3507041,"Vigoa Apecheche, Yanira",USA,F,1987,WGM,2218,,2276,wi
2903229,"Djingarova, Emilia",BUL,F,1978,WGM,2217,,,
13402951,"Kazimova, Narmin",AZE,F,1993,WGM,2217,,2269,
5018242,"Koneru, Chandra Hawsa",IND,F,1988,,2217,,,wi
13711261,"Nurgali, Nazerke",KAZ,F,2004,WIM,2217,2044,2158,
1002457,"Sziva, Erika",NED,F,1967,WGM,2217,,,
8601925,"Zhao, Dindin",CHN,F,1984,,2217,,,wi
24605611,"Fuchs, Judith",GER,F,1990,WGM,2216,2291,2326,
14113767,"Moskalets, Svetlana",UKR,F,1988,WIM,2216,2200,2095,wi
929700,"Prudnikova, Svetlana",SRB,F,1967,WGM,2216,2201,,
34130249,"Sakorenko, Adriana",RUS,F,2001,WFM,2216,1942,1883,
