Date,Location/Operator,Aircraft Type/Registration,Fatalities
07 Nov 1930,"Off of Santos, BrazilSyndicato Condor",Junkers G-24P-BAHA,1/9(0)
18 Nov 1930,"Techachapi Mountains, CaliforniaPacific Air Transport",Boeing 40NC5340,3/3(?)
09 Dec 1930,"Shanghai, ChinaChina National Aviation Corporation",Loening C-W Air Yaht?,4/6(0)
08 Jan 1931,"Melle, BelgiumSabena",Fokker F-VIIOO-AIL,2/2(0)
22 Jan 1931," Bluff Mountain, WashingtonVarney Air Lines",Boeing 40NC741K,1/1(0)
08 Feb 1931,"Wairoa, New ZealandDominion Air Lines",Desoutter IIZK-ACA,3/3(0)
20 Feb 1931,"Bagot, Manitoba, CanadaWestern Canada Airways",Fokker Universal F-14?,2/3(0)
24 Feb 1931,Off SpainAeropostale,Latecoere 32F-AITX,1/3(0)
21 Mar 1931,"New South Wales, AustraliaAustralian National Airways",Avro 10VH-UMF,8/8(0)
31 Mar 1931,"Bazaar, KansasTrans Continental and Western Air",Fokker F10A TrimotorNC-999,8/8(0)
14 Apr 1931,"Near Letschen, GermanyDeutsche Lufthansa",Messerschmitt M-20D-1928,2/10(0)
05 May 1931,"Burbank, CaliforniaPacific Air Transport",Boeing 40NC5390,2/2(0)
22 May 1931,"Wampit, AustraliaGuiena Airways",Junkers W-34VH-UNR,1/1(0)
24 May 1931,"Bellefonte, PennsylvaniaNational Air Transport",Boeing 95NC397E,1/1(0)
07 Jun 1931,"Near Sandoway, BurmaAir Orient",Fokker F-VIIBPH-AEO,4/4(0)
11 Jun 1931,"Walbridge, OhioRubner Flying Service",Lockheed Vega 2NC857E,2/3(0)
13 Jun 1931,"Saarbrucken, GermanyDeutsche Lufthansa",Dornier MerkurD-1455,4/4(0)
12 Jul 1931,"Chicago, IllinoisBraniff Airlines",Lockheed VegaNC8497,2/2(0)
14 Jul 1931,"Temora, AustraliaAustralian Aerial Services",Lasco LascowlVH-UGF,2/2(0)
21 Jul 1931,"Centralia, IllinoisAmerican Airways",Pitcairn PA-6 Mailwing?,1/1(0)
24 Jul 1931,"Kurudjevo, BulgariaCIDNA",Fokker F-VIIF-ALGT,7/7(0)
09 Aug 1931,"Cincinnati, OhioAmerican Airways",Ford 5-AT-C Tri MotorNC9662,6/6(0)
14 Sep 1931,"Chicago, IllinoisChicago-Detroit Airways",Lockheed VegaNC606,1/1(0)
15 Sep 1931,"Near Craiova, Oltenia, RomaniaCIDNA",Fokker F-VIIb-3mF-AIGT,6/6(0)
16 Sep 1931,"Oakland, CaliforniaPacific Air Transport",Boeing 40NC10347,4/4(0)
06 Oct 1931,"Novia Scotia, CanadaDeutsche Lufthansa",Heinkel HE-2D-1717,3/3(0)
14 Oct 1931,BrazilSyndicato Condor,Dornier WalP-BALSA,3/3(0)
05 Nov 1931,"Camden, New JerseyNY, Phil., Washington AW",Lockheed Orion 9NC12221,5/5(0)
13 Nov 1931,"Sir Lowry's pass, South AfricaUnion Airways",De Havilland DH.80ZS-ACD,3/3(0)
23 Nov 1931,"Salt Lake City, UtahBoeing Air Transport",Boeing 40NC7465,1/1(0)
